xAxisLabel,yAxisLabel,coh
Cohmeleon,36.90851735,non-coh-dma
Cohmeleon,6.309148265,llc-coh-dma
Cohmeleon,41.00946372,coh-dma
Cohmeleon,15.77287066,full-coh
Manual,47.00315457,non-coh-dma
Manual,35.01577287,coh-dma
Manual,3.154574132,llc-coh-dma
Manual,14.82649842,full-coh
Cohmeleon (S),0,non-coh-dma
Cohmeleon (S),2.127659574,llc-coh-dma
Cohmeleon (S),44.68085106,coh-dma
Cohmeleon (S),53.19148936,full-coh
Manual (S),1.063829787,non-coh-dma
Manual (S),0,llc-coh-dma
Manual (S),48.93617021,coh-dma
Manual (S),50.0,full-coh
Cohmeleon (M),9.0,non-coh-dma
Cohmeleon (M),16.0,llc-coh-dma
Cohmeleon (M),75.0,coh-dma
Cohmeleon (M),0,full-coh
Manual (M),33.0,non-coh-dma
Manual (M),10.0,llc-coh-dma
Manual (M),57.0,coh-dma
Manual (M),0,full-coh
Cohmeleon (L),77.46478873,non-coh-dma
Cohmeleon (L),2.816901408,llc-coh-dma
Cohmeleon (L),19.71830986,coh-dma
Cohmeleon (L),0,full-coh
Manual (L),90.12345679,non-coh-dma
Manual (L),0,llc-coh-dma
Manual (L),9.87654321,coh-dma
Manual (L),0,full-coh
Cohmeleon (XL),100,non-coh-dma
Cohmeleon (XL),0,llc-coh-dma
Cohmeleon (XL),0,coh-dma
Cohmeleon (XL),0,full-coh
Manual (XL),100,non-coh-dma
Manual (XL),0,llc-coh-dma
Manual (XL),0,coh-dma
Manual (XL),0,full-coh
