xAxisTopLabel,xAxisGroupLabel,xAxisLabel,xAxisSubLabel,yAxisLabel
Sort,Small,execution time,non-coh-dma,1
Sort,Small,off-chip memory accesses,non-coh-dma,1
Sort,Small,execution time,llc-coh-dma,0.775824
Sort,Small,off-chip memory accesses,llc-coh-dma,0
Sort,Small,execution time,coh-dma,0.514153
Sort,Small,off-chip memory accesses,coh-dma,0
Sort,Small,execution time,full-coh,0.720574
Sort,Small,off-chip memory accesses,full-coh,0
Sort,Medium,execution time,non-coh-dma,1
Sort,Medium,off-chip memory accesses,non-coh-dma,1
Sort,Medium,execution time,llc-coh-dma,0.504701
Sort,Medium,off-chip memory accesses,llc-coh-dma,0
Sort,Medium,execution time,coh-dma,0.474095
Sort,Medium,off-chip memory accesses,coh-dma,0
Sort,Medium,execution time,full-coh,2.123159
Sort,Medium,off-chip memory accesses,full-coh,0
Sort,Large,execution time,non-coh-dma,1
Sort,Large,off-chip memory accesses,non-coh-dma,1
Sort,Large,execution time,llc-coh-dma,2.606915
Sort,Large,off-chip memory accesses,llc-coh-dma,0.968781
Sort,Large,execution time,coh-dma,2.599164
Sort,Large,off-chip memory accesses,coh-dma,0.968588
Sort,Large,execution time,full-coh,6.195755
Sort,Large,off-chip memory accesses,full-coh,0.968662
Cholesky,Small,execution time,non-coh-dma,1
Cholesky,Small,off-chip memory accesses,non-coh-dma,1
Cholesky,Small,execution time,llc-coh-dma,0.46362
Cholesky,Small,off-chip memory accesses,llc-coh-dma,0.006753
Cholesky,Small,execution time,coh-dma,0.405032
Cholesky,Small,off-chip memory accesses,coh-dma,0
Cholesky,Small,execution time,full-coh,0.498146
Cholesky,Small,off-chip memory accesses,full-coh,0
Cholesky,Medium,execution time,non-coh-dma,1
Cholesky,Medium,off-chip memory accesses,non-coh-dma,1
Cholesky,Medium,execution time,llc-coh-dma,0.384087
Cholesky,Medium,off-chip memory accesses,llc-coh-dma,0.003841
Cholesky,Medium,execution time,coh-dma,0.379275
Cholesky,Medium,off-chip memory accesses,coh-dma,0.00231
Cholesky,Medium,execution time,full-coh,4.130205
Cholesky,Medium,off-chip memory accesses,full-coh,0.001703
Cholesky,Large,execution time,non-coh-dma,1
Cholesky,Large,off-chip memory accesses,non-coh-dma,1
Cholesky,Large,execution time,llc-coh-dma,2.228163
Cholesky,Large,off-chip memory accesses,llc-coh-dma,0.97835
Cholesky,Large,execution time,coh-dma,2.22871
Cholesky,Large,off-chip memory accesses,coh-dma,0.978755
Cholesky,Large,execution time,full-coh,6.630961
Cholesky,Large,off-chip memory accesses,full-coh,0.978321
Viterbi,Small,execution time,non-coh-dma,1
Viterbi,Small,off-chip memory accesses,non-coh-dma,1
Viterbi,Small,execution time,llc-coh-dma,0.683643
Viterbi,Small,off-chip memory accesses,llc-coh-dma,0.053885
Viterbi,Small,execution time,coh-dma,0.693991
Viterbi,Small,off-chip memory accesses,coh-dma,0
Viterbi,Small,execution time,full-coh,1.040268
Viterbi,Small,off-chip memory accesses,full-coh,0
Viterbi,Medium,execution time,non-coh-dma,1
Viterbi,Medium,off-chip memory accesses,non-coh-dma,1
Viterbi,Medium,execution time,llc-coh-dma,0.839134
Viterbi,Medium,off-chip memory accesses,llc-coh-dma,0.054414
Viterbi,Medium,execution time,coh-dma,0.80451
Viterbi,Medium,off-chip memory accesses,coh-dma,0
Viterbi,Medium,execution time,full-coh,1.542012
Viterbi,Medium,off-chip memory accesses,full-coh,0
Viterbi,Large,execution time,non-coh-dma,1
Viterbi,Large,off-chip memory accesses,non-coh-dma,1
Viterbi,Large,execution time,llc-coh-dma,1.417418
Viterbi,Large,off-chip memory accesses,llc-coh-dma,1.376624
Viterbi,Large,execution time,coh-dma,1.411688
Viterbi,Large,off-chip memory accesses,coh-dma,1.376357
Viterbi,Large,execution time,full-coh,2.3575
Viterbi,Large,off-chip memory accesses,full-coh,1.376267
SPMV,Small,execution time,non-coh-dma,1
SPMV,Small,off-chip memory accesses,non-coh-dma,1
SPMV,Small,execution time,llc-coh-dma,0.511091
SPMV,Small,off-chip memory accesses,llc-coh-dma,0.0053
SPMV,Small,execution time,coh-dma,0.506623
SPMV,Small,off-chip memory accesses,coh-dma,0
SPMV,Small,execution time,full-coh,0.492902
SPMV,Small,off-chip memory accesses,full-coh,0
SPMV,Medium,execution time,non-coh-dma,1
SPMV,Medium,off-chip memory accesses,non-coh-dma,1
SPMV,Medium,execution time,llc-coh-dma,0.584768
SPMV,Medium,off-chip memory accesses,llc-coh-dma,0.004257
SPMV,Medium,execution time,coh-dma,0.583192
SPMV,Medium,off-chip memory accesses,coh-dma,0
SPMV,Medium,execution time,full-coh,0.782506
SPMV,Medium,off-chip memory accesses,full-coh,0
SPMV,Large,execution time,non-coh-dma,1
SPMV,Large,off-chip memory accesses,non-coh-dma,1
SPMV,Large,execution time,llc-coh-dma,0.954386
SPMV,Large,off-chip memory accesses,llc-coh-dma,1.055436
SPMV,Large,execution time,coh-dma,0.953878
SPMV,Large,off-chip memory accesses,coh-dma,1.055483
SPMV,Large,execution time,full-coh,1.905047
SPMV,Large,off-chip memory accesses,full-coh,1.055247
FFT,Small,execution time,non-coh-dma,1
FFT,Small,off-chip memory accesses,non-coh-dma,1
FFT,Small,execution time,llc-coh-dma,0.666394
FFT,Small,off-chip memory accesses,llc-coh-dma,0.064227
FFT,Small,execution time,coh-dma,0.575968
FFT,Small,off-chip memory accesses,coh-dma,0
FFT,Small,execution time,full-coh,0.751736
FFT,Small,off-chip memory accesses,full-coh,0
FFT,Medium,execution time,non-coh-dma,1
FFT,Medium,off-chip memory accesses,non-coh-dma,1
FFT,Medium,execution time,llc-coh-dma,0.879688
FFT,Medium,off-chip memory accesses,llc-coh-dma,0.066813
FFT,Medium,execution time,coh-dma,0.862464
FFT,Medium,off-chip memory accesses,coh-dma,0.000081
FFT,Medium,execution time,full-coh,1.061622
FFT,Medium,off-chip memory accesses,full-coh,0.000142
FFT,Large,execution time,non-coh-dma,1
FFT,Large,off-chip memory accesses,non-coh-dma,1
FFT,Large,execution time,llc-coh-dma,0.987512
FFT,Large,off-chip memory accesses,llc-coh-dma,1.440443
FFT,Large,execution time,coh-dma,0.986156
FFT,Large,off-chip memory accesses,coh-dma,1.440042
FFT,Large,execution time,full-coh,1.809143
FFT,Large,off-chip memory accesses,full-coh,1.440423
Night-vision,Small,execution time,non-coh-dma,1
Night-vision,Small,off-chip memory accesses,non-coh-dma,1
